mz=243.09927, mz=246.16999, mz=260.18568, mz=285.10986
mz=175.03678, mz=218.04266, mz=219.02655, mz=381.07953
mz=132.07674, mz=173.0421, mz=402.02124, mz=450.01895
mz=140.0682, mz=161.09213, mz=162.07614, mz=220.03464
mz=331.2955, mz=345.31116, mz=369.31118, mz=387.32183
mz=140.01085, mz=145.06079, mz=151.04782, mz=84.04436
mz=160.13325, mz=162.11249, mz=176.12817, mz=196.07353
mz=134.04479, mz=136.03691, mz=148.06041, mz=464.08155
mz=167.04694, mz=173.0809, mz=181.0626, mz=195.04189
mz=396.25118, mz=410.26691, mz=415.31685, mz=438.26192
mz=371.32684, mz=373.34251, mz=399.32185, mz=414.33282
mz=104.10697, mz=141.01584, mz=171.00548, mz=184.07339
mz=106.04985, mz=156.0768, mz=212.04319, mz=348.07044
mz=383.32687, mz=397.34259, mz=411.35832, mz=422.30338
mz=103.03895, mz=145.04955, mz=197.02116, mz=223.07481
mz=147.07641, mz=211.06903, mz=219.09766, mz=287.10021
mz=128.99485, mz=132.06552, mz=138.05256, mz=90.05492
mz=130.08626, mz=132.1019, mz=139.0156, mz=140.04724
mz=200.05293, mz=208.08165, mz=212.05305, mz=221.07696
mz=218.13877, mz=220.11806, mz=232.15434, mz=262.12854
