mz=132.06552, mz=150.07611, mz=171.00548, mz=212.04319, mz=214.99536
mz=132.07674, mz=136.04814, mz=267.0588, mz=268.10405, mz=450.01895
mz=204.12305, mz=217.1548, mz=218.13877, mz=218.18643, mz=248.14925
mz=202.04763, mz=204.13436, mz=205.11841, mz=206.1024, mz=214.04769
mz=128.99485, mz=133.06077, mz=134.04479, mz=182.08124, mz=348.07044
mz=143.01052, mz=148.06041, mz=191.06634, mz=205.08199, mz=221.07696
mz=138.03158, mz=138.05256, mz=140.01085, mz=145.06079, mz=84.04436
mz=220.11806, mz=261.14455, mz=262.12854, mz=276.14421, mz=290.15979
mz=169.0262, mz=173.0809, mz=195.04189, mz=197.02116, mz=197.05754
mz=149.08069, mz=173.0421, mz=203.03174, mz=205.04736, mz=217.06836
mz=103.03895, mz=130.08626, mz=132.1019, mz=140.0682, mz=212.06844
mz=369.31118, mz=380.25616, mz=383.32687, mz=410.26691, mz=440.27756
mz=141.01584, mz=142.04748, mz=162.07614, mz=201.01607, mz=217.011
mz=162.11249, mz=184.07339, mz=216.06325, mz=224.06839, mz=226.08399
mz=402.33274, mz=403.31683, mz=411.32193, mz=445.32748, mz=449.29893
mz=218.04266, mz=219.02655, mz=221.04221, mz=381.07953, mz=395.11619
mz=143.08152, mz=169.09721, mz=170.09246, mz=212.10307, mz=213.08711
mz=136.03691, mz=144.06554, mz=147.07641, mz=151.04782, mz=152.03183
mz=139.0156, mz=140.04724, mz=141.03118, mz=143.11791, mz=144.10192
mz=387.32183, mz=395.33814, mz=413.30119, mz=413.34883, mz=414.33282
