mz=203.03174, mz=208.08165, mz=212.05305, mz=214.01133, mz=214.99536, mz=218.04266
mz=138.03158, mz=143.08152, mz=161.09213, mz=162.07614, mz=200.05293, mz=202.04763
mz=128.99485, mz=132.1019, mz=143.01052, mz=148.06041, mz=184.07339, mz=90.05492
mz=136.06178, mz=137.04579, mz=152.03183, mz=170.09246, mz=268.10405, mz=450.01895
mz=106.04985, mz=132.06552, mz=134.02703, mz=136.04268, mz=140.01085, mz=142.04748
mz=130.08626, mz=138.05256, mz=140.0682, mz=149.08069, mz=169.0262, mz=173.0809
mz=176.12817, mz=183.07825, mz=196.07353, mz=204.12305, mz=224.06839, mz=226.08399
mz=133.06077, mz=134.04479, mz=147.07641, mz=151.04782, mz=176.06664, mz=191.06634
mz=343.33193, mz=380.25616, mz=387.32183, mz=389.30101, mz=403.31683, mz=414.33282
mz=341.31627, mz=369.31118, mz=371.32684, mz=383.32687, mz=410.33788, mz=413.30119
mz=143.11791, mz=144.10192, mz=162.11249, mz=214.04769, mz=216.06325, mz=219.09766
mz=136.04814, mz=138.0662, mz=150.05835, mz=156.0768, mz=348.07044, mz=402.02124
mz=173.0421, mz=175.03678, mz=219.02655, mz=363.08979, mz=381.07953, mz=395.11619
mz=160.13325, mz=161.12851, mz=195.04189, mz=197.05754, mz=203.13911, mz=211.07321
mz=137.07094, mz=151.08661, mz=152.07063, mz=166.08631, mz=182.08124, mz=209.09221
mz=294.21935, mz=331.2955, mz=334.27162, mz=336.22995, mz=352.22487, mz=368.21973
mz=103.03895, mz=104.07059, mz=145.04955, mz=197.02116, mz=201.01607, mz=97.00499
mz=396.25118, mz=397.27154, mz=399.32185, mz=401.30114, mz=438.26192, mz=440.27756
mz=218.13877, mz=219.13406, mz=232.15434, mz=243.09927, mz=261.14455, mz=285.10986
mz=202.1187, mz=203.15034, mz=204.13436, mz=205.11841, mz=218.11364, mz=218.15004
