mz=219.13406, mz=144.06554, mz=133.06077, mz=184.07339, mz=223.07326
mz=348.07044, mz=133.09716, mz=443.34824, mz=140.04724, mz=205.11841
mz=476.27499, mz=218.18643, mz=383.32687, mz=137.07094, mz=216.08675
mz=216.06325, mz=448.31479, mz=378.19368, mz=215.0163, mz=318.21929
mz=140.01085, mz=395.07978, mz=378.19368, mz=143.08152, mz=368.11219
mz=320.24286, mz=219.13406, mz=308.09104, mz=246.16999, mz=306.18295
mz=280.20374, mz=322.25063, mz=173.0421, mz=346.25071, mz=133.06077
mz=445.32748, mz=195.07827, mz=387.32183, mz=437.3489, mz=153.06588
mz=369.31118, mz=222.0892, mz=337.07411, mz=248.14925, mz=145.04955
mz=213.08711, mz=332.19864, mz=368.11219, mz=397.34259, mz=84.04436
mz=178.97177, mz=150.07611, mz=380.25616, mz=395.33814, mz=410.33788
mz=318.21929, mz=243.09927, mz=261.14455, mz=379.08474, mz=319.21701
mz=202.04763, mz=154.08629, mz=349.07382, mz=255.13574, mz=248.14925
mz=447.37944, mz=195.00298, mz=134.02703, mz=178.97177, mz=306.18295
mz=328.12379, mz=425.13594, mz=166.08631, mz=320.1986, mz=161.09213
mz=169.0262, mz=211.07321, mz=366.20409, mz=170.09246, mz=218.18643
mz=218.11364, mz=307.04392, mz=206.1024, mz=179.04856, mz=379.08474
mz=379.1307, mz=133.06077, mz=323.23067, mz=366.20409, mz=396.25118
mz=125.07093, mz=86.09639, mz=245.11488, mz=392.29254, mz=189.05245
mz=378.31335, mz=255.13574, mz=162.11249, mz=199.10958, mz=130.08626
