794.5433_310.5, 794.6026_424.3, 796.5612_368.7, 798.5954_428.2
874.6492_45.0, 883.6019_310.9, 912.6274000000001, 913.597
780.5313_299.8, 807.5425_350.3, 819.5409_380.9, 837.5535_340.4
315.2330_297.5, 317.2477_305.2, 331.2632_312.2, 395.1993_396.5
421.2518_495.7, 437.2460_439.2, 447.2875_330.4, 465.2390_439.0
455.2194_357.2, 481.2553_52.6, 482.2882_389.0, 497.2512_582.5
427.2965_319.2, 445.3067_411.6, 463.3189_329.1, 490.3479_344.6
175.11013630138913, 191.1049_315.2, 193.1205_323.7, 221.1150_275.9
487.3779837582024, 505.306, 523.3168_518.3, 537.3318_328.7
290.1717_366.2, 291.1556_381.9, 333.1684_509.5, 350.1735_382.4
282.2782_349.4, 289.21345083932613, 303.2289026422727, 306.275434281174
297.2437_288.1, 343.2479_56.3, 349.2332_478.6, 357.2624_343.2
530.3831_310.7, 567.3078_442.5, 567.3282_59.3, 583.3236_55.0
205.1569_371.6, 207.17244818017676, 209.15165686629305, 223.1674_307.7
196.1314_214.2, 224.1262_320.7, 239.12549129159498, 266.1361289920611
842.4935_571.3, 857.4364_488.8, 860.4851_466.5, 864.5385_257.5
