395.1993_396.5, 409.2148_407.8, 411.2291933890981, 423.2300_422.9, 439.2253_395.8
473.3614_470.8, 477.3341_365.9, 481.3072000000001, 483.3446_518.5, 523.3168_518.3
183.1364_375.3, 195.0993201282952, 209.1154_361.5, 227.1258_95.7, 254.0782_286.7
766.5699_455.0, 783.5309_378.7, 786.5979_426.2, 807.5512_358.9, 810.5947_434.3
551.3698_330.7, 553.3269_574.6, 560.3973_275.8, 581.3431_276.4, 595.3592_287.1
287.2011_268.4, 353.2319_261.4, 357.2019_315.5, 744.0812_594.1, 783.0248713133275
337.2347_362.4, 342.2639_317.1, 358.2940_336.1, 378.2625418756874, 385.3055_332.0
653.4547_398.7, 680.4639_382.2, 738.5065, 765.5164_332.0, 766.5018_312.3
761.4710_260.4, 775.4314_558.5, 779.4860_428.8, 782.5002_509.6, 799.4488_519.1
810.5380_291.5, 816.5747_509.1, 820.5435_594.8, 840.5749_412.9, 860.5662_582.5
443.3285_492.0, 467.3296_517.7, 485.3402_452.5, 499.3758_497.8, 517.3654_470.8
783.5641_412.8, 794.5306_340.8, 811.5984_433.3, 819.5630_407.8, 821.5436_359.9
383.2786_283.3, 384.3098_349.8, 387.2497_344.8, 407.2783097526115, 449.2887_318.3
195.1362_330.2, 197.1517_398.2, 211.1675_176.0, 237.14638076276103, 241.1202_519.2
813.4449_428.1, 816.5130_442.5, 829.4432_292.0, 831.4597_395.0, 843.4553_394.2
754.5123_400.8, 781.5252_299.2, 784.5222_559.7, 807.5598_410.4, 849.5741_401.5
