761.5822_426.4, 807.5598_410.4, 810.5598_319.6, 826.5579_398.0, 841.5426_55.3, 853.5647_326.8
277.17689864542973, 279.1559_282.5, 284.1847_277.2, 290.1717_366.2, 293.17230080683623, 310.2005_285.4
427.3585_379.1, 453.3371_283.6, 469.3094_372.3, 473.3614_470.8, 477.3106_383.5, 477.3341_365.9
612.4403_536.1, 626.4759_561.5, 627.4606_469.4, 644.4876, 656.4663_508.7, 674.4973_373.3
796.5485_310.5, 824.5458_493.4, 833.4745_593.7, 876.5337_51.2, 892.5316_47.4, 900.5599_481.4
195.1362_330.2, 207.1362_331.8, 211.1310_372.6, 223.1310_339.2, 241.1202_519.2, 284.1258_379.5
189.1005_171.3, 205.09530000000004, 219.0521_37.0, 459.3446_519.1, 651.1131_569.0, 744.0812_594.1
653.4547_398.7, 655.4696_342.1, 680.4639_382.2, 767.5693_458.3, 790.5346_538.4, 812.546687907155
321.2400_361.6, 343.2479_56.3, 357.2624_343.2, 358.2940_336.1, 380.2580_366.0, 390.2690_364.0
787.5950_430.7, 808.5449_327.6, 817.5499_380.1, 821.5436_359.9, 835.5605_375.4, 836.5378_516.6
221.1150_275.9, 239.12549129159498, 242.1378_554.6, 276.1215_407.4, 303.1316349529638, 310.1057_251.1
183.1113_55.9, 198.1107_234.1, 225.1214_114.9, 239.0892_256.0, 256.0948_269.4, 260.1498_369.5
481.3431_445.3, 487.3779837582024, 491.3484_367.0, 523.3168_518.3, 539.3687_360.5, 553.3269_574.6
311.2574_380.8, 349.2332_478.6, 407.2201_53.9, 411.2734_309.5, 450.2636_306.1, 460.2648_374.3
716.4892_389.4, 737.4346_485.1, 743.4948_519.4, 779.4448_526.2, 793.4612_469.1, 809.4579_397.0
383.2593_265.3, 405.2201_482.9, 411.2903_298.2, 423.2300_422.9, 425.2451_426.8, 467.2551_428.1
