261.0846_313.3, 199.1462253873035, 823.5492_327.3, 902.6006_357.7, 299.1243_375.7
507.3622_389.1, 348.1768_557.8, 264.2663_365.7, 457.3038_309.0, 683.3638_482.7
525.3560_431.8, 465.282398063169, 445.3067_411.6, 552.2956_535.4, 289.1545_454.8
249.0062_249.9, 403.2829_484.4, 603.3847_476.4, 841.5426_55.3, 754.5123_400.8
285.0634_43.7, 312.1947_314.9, 635.4526_448.2, 282.9879_49.8, 415.3198_455.1
433.2352_373.7, 811.6639_419.6, 195.1725_204.7, 401.3036_323.4, 859.5321_440.1
458.2585_507.7, 262.1163236366779, 979.6013_303.0, 536.3217_535.8, 279.0862_54.8
503.2659_254.1, 543.3762_358.2, 848.5832_373.5, 465.2618_54.9, 340.1026_382.8
979.6013_303.0, 817.5499_380.1, 829.4432_292.0, 243.0043_67.4, 377.3410_519.2
687.4932_411.8, 199.0582_484.5, 323.1861736465143, 820.6190_443.3, 411.2903_298.2
674.4741_579.5, 274.1803_299.4, 684.4756_361.8, 848.6392_45.1, 247.0264_44.3
603.3847_476.4, 605.3947_531.9, 747.5637_487.9, 771.5987, 868.5143_519.4
348.0656_54.2, 373.3108_348.8, 154.0474_72.0, 850.4778_578.0, 239.9931_336.9
267.1699_272.6, 283.1142_339.7, 780.5437_468.7, 380.2580_366.0, 173.0468_361.5
293.17230080683623, 415.3576_381.7, 897.7837_41.7, 749.5253_368.8, 408.2177_286.1
211.1310_372.6, 851.5659_517.4, 687.4932_411.8, 789.4900_275.6, 163.1465_550.6
