472.3202_484.4, 860.4660_51.1, 190.0845587902423, 902.6006_357.7, 396.2666_320.0
649.4214_527.5, 611.3536, 390.2626_328.8, 337.2710_19.8, 603.3847_476.4
530.3623_534.0, 365.1970_271.0, 590.3440_321.6, 310.1057_251.1, 867.5769_333.0
295.2021_278.2, 755.5235_399.6, 376.1889_509.5, 163.1210_196.5, 770.4985_257.2
546.3943_518.1, 189.1620_508.0, 134.0718_302.2, 198.1107_234.1, 589.4075_432.4
483.3244_393.3, 921.6052_398.1, 737.5179_519.4, 757.4970_551.1, 369.0588_361.1
419.2212_271.9, 285.12054164173077, 629.3833_484.4, 765.5164_332.0, 424.1367_484.7
529.2794_539.6, 334.2012_380.8, 779.4819_51.6, 538.2770_321.0, 657.4142_272.4
289.0371_50.8, 914.5994_546.6, 293.17230080683623, 883.6019_310.9, 387.2863_403.0
877.5446_59.4, 311.2183_334.8, 377.2108_54.7, 627.2172_365.1, 718.5735_453.8
723.4896_290.1, 855.4760_488.5, 684.4756_361.8, 848.6392_45.1, 467.1464_323.3
887.6001_384.4, 197.1153_298.6, 663.4488_323.0, 183.1113_55.9, 516.311
655.5521_337.1, 243.1568_353.2, 867.7749_41.5, 360.2166_391.8, 493.3422_459.4
267.1699_272.6, 671.4267_254.0, 232.1676_281.3, 887.5651_287.0, 298.2730_334.0
467.3296_517.7, 298.1839_53.6, 265.0327_51.8, 376.1889_509.5, 399.2487_427.1
776.5259_399.6, 403.2829_484.4, 738.5444_519.2, 426.2775_299.8, 389.2319_367.4
