507.3076_284.6, 365.0833_361.0, 736.4670_502.3, 165.0684_355.7, 418.2790_321.5
230.1268_51.7, 437.2460_439.2, 390.2626_328.8, 839.5077_491.5, 621.4289407023765
386.2910_477.6, 807.5165_587.3, 411.2291933890981, 831.6863_279.9, 315.1579_55.7
667.4541_373.7, 591.4023_389.7, 887.6001_384.4, 311.2574_380.8, 356.2352_56.1
605.4200_464.6, 770.5106_352.7, 538.2770_321.0, 299.1366_389.4, 383.1634046944794
327.1375_302.3, 370.2702_427.5, 261.0528_340.9, 816.4689_265.8, 255.2085_327.2
207.1362_331.8, 560.3973_275.8, 872.6538_45.1, 539.3119_456.4, 341.2065_321.1
257.2241037236281, 359.1665_51.3, 909.6190_402.1, 348.1768_557.8, 1013.6979_336.6
894.6967_44.6, 345.2028133241466, 223.1057_53.4, 286.1403_368.9, 307.2597_321.4
489.2993000000001, 447.3000_332.1, 849.7940_41.5, 820.6190_443.3, 477.3106_383.5
674.4741_579.5, 557.3471_312.3, 369.0588_361.1, 411.2291933890981, 809.4579_397.0
887.6001_384.4, 821.4368_477.6, 523.3168_518.3, 784.5222_559.7, 354.1692_498.8
292.2987_437.5, 609.3395_307.1, 489.2993000000001, 962.6441_344.6, 787.5449_271.9
291.1822_371.6, 655.3777_448.2, 759.5018_425.5, 291.0269_311.0, 340.1026_382.8
293.17230080683623, 514.3506_350.2, 897.7837_41.7, 845.5603_326.2, 707.4485_358.8
624.4368_362.9, 197.1153_298.6, 1067.5909_391.0, 199.1220_358.0, 280.1453_397.1
